================================================================================
Viral Abundance Report (MEGAHIT) - llnl_66ce4dde
================================================================================

Total mapped reads: 4,535,221
Viral contigs detected: 12878

Contig ID                      Length (bp)     Reads      RPM          RPKM         Identity (%)
k141_155330                    1731            63         13.89        8.02         40.20       
k141_42812                     1209            44         9.70         8.02         32.10       
k141_133540                    1484            54         11.91        8.02         36.10       
k141_164318                    1265            46         10.14        8.02         48.70       
k141_80632                     2669            97         21.39        8.01         41.90       
k141_5094                      1238            45         9.92         8.01         33.10       
k141_77589                     1487            54         11.91        8.01         26.30       
k141_17699                     3249            118        26.02        8.01         27.40       
k141_113303                    1267            46         10.14        8.01         35.20       
k141_119401                    3414            124        27.34        8.01         30.60       
k141_110755                    1404            51         11.25        8.01         43.90       
k141_163777                    1487            54         11.91        8.01         36.80       
k141_2225                      2285            83         18.30        8.01         31.10       
k141_24690                     2341            85         18.74        8.01         35.60       
k141_58941                     2202            80         17.64        8.01         33.70       
k141_51617                     1294            47         10.36        8.01         32.50       
k141_162508                    1431            52         11.47        8.01         32.30       
k141_139905                    2174            79         17.42        8.01         40.10       
k141_64439                     1293            47         10.36        8.01         31.50       
k141_117975                    1789            65         14.33        8.01         31.20       
k141_160402                    2812            102        22.49        8.00         35.00       
k141_30122                     1020            37         8.16         8.00         32.20       
k141_104486                    2755            100        22.05        8.00         61.30       
k141_151235                    2976            108        23.81        8.00         28.90       
k141_12795                     1626            59         13.01        8.00         37.40       
k141_64133                     1874            68         14.99        8.00         29.60       
k141_43198                     4628            168        37.04        8.00         31.60       
k141_104670                    1958            71         15.66        8.00         24.30       
k141_141823                    1901            69         15.21        8.00         29.40       
k141_10713                     1185            43         9.48         8.00         36.50       
k141_153957                    1571            57         12.57        8.00         33.00       
k141_156965                    1212            44         9.70         8.00         22.50       
k141_132928                    1957            71         15.66        8.00         38.90       
k141_63912                     2536            92         20.29        8.00         28.40       
k141_84059                     1241            45         9.92         8.00         22.70       
k141_32248                     1324            48         10.58        7.99         31.00       
k141_15570                     3424            124        27.34        7.99         23.80       
k141_117692                    1793            65         14.33        7.99         33.30       
k141_572                       1601            58         12.79        7.99         34.00       
k141_2982                      1545            56         12.35        7.99         31.10       
k141_175200                    1601            58         12.79        7.99         25.60       
k141_115079                    1159            42         9.26         7.99         36.20       
k141_1483                      1269            46         10.14        7.99         59.70       
k141_23087                     1104            40         8.82         7.99         26.60       
k141_715                       1601            58         12.79        7.99         33.00       
k141_137032                    3035            110        24.25        7.99         28.30       
k141_2974                      1215            44         9.70         7.99         20.30       
k141_148403                    1076            39         8.60         7.99         25.80       
k141_89515                     1242            45         9.92         7.99         26.60       
k141_165796                    2043            74         16.32        7.99         26.00       
k141_123437                    1269            46         10.14        7.99         34.40       
k141_80077                     2069            75         16.54        7.99         29.80       
k141_6739                      1133            41         9.04         7.98         26.40       
k141_104959                    1133            41         9.04         7.98         36.80       
k141_36968                     1381            50         11.02        7.98         44.30       
k141_115580                    1354            49         10.80        7.98         39.40       
k141_69281                     1160            42         9.26         7.98         28.30       
k141_88717                     3177            115        25.36        7.98         35.90       
k141_98134                     1022            37         8.16         7.98         30.80       
k141_178595                    3453            125        27.56        7.98         27.30       
k141_139946                    1934            70         15.43        7.98         32.60       
k141_156110                    1410            51         11.25        7.98         31.50       
k141_71948                     2072            75         16.54        7.98         33.10       
k141_144584                    1768            64         14.11        7.98         29.50       
k141_162692                    1384            50         11.02        7.97         28.60       
k141_18283                     1245            45         9.92         7.97         35.20       
k141_169093                    1494            54         11.91        7.97         28.20       
k141_26001                     2242            81         17.86        7.97         20.90       
k141_77319                     2379            86         18.96        7.97         24.80       
k141_143602                    1190            43         9.48         7.97         32.60       
k141_92061                     1494            54         11.91        7.97         34.30       
k141_128991                    1106            40         8.82         7.97         38.30       
k141_57023                     3457            125        27.56        7.97         35.50       
k141_60463                     1134            41         9.04         7.97         29.80       
k141_39853                     1937            70         15.43        7.97         23.90       
k141_116019                    1245            45         9.92         7.97         34.00       
k141_139302                    1853            67         14.77        7.97         37.70       
k141_26309                     1135            41         9.04         7.97         35.20       
k141_25604                     1439            52         11.47        7.97         33.80       
k141_162913                    1135            41         9.04         7.97         47.90       
k141_120486                    2047            74         16.32        7.97         23.30       
k141_69857                     1494            54         11.91        7.97         23.70       
k141_50234                     1107            40         8.82         7.97         34.40       
k141_66646                     2546            92         20.29        7.97         44.10       
k141_127075                    1273            46         10.14        7.97         29.80       
k141_172917                    4239            153        33.74        7.96         34.90       
k141_122849                    2522            91         20.07        7.96         32.20       
k141_159329                    1385            50         11.02        7.96         44.80       
k141_20871                     1081            39         8.60         7.96         36.20       
k141_53069                     2465            89         19.62        7.96         29.40       
k141_3361                      2603            94         20.73        7.96         32.10       
k141_6955                      1857            67         14.77        7.96         28.80       
k141_110522                    1552            56         12.35        7.96         32.00       
k141_84844                     1191            43         9.48         7.96         43.20       
k141_18291                     1468            53         11.69        7.96         33.30       
k141_68452                     1495            54         11.91        7.96         37.50       
k141_6855                      2909            105        23.15        7.96         33.00       
k141_8830                      1579            57         12.57        7.96         38.00       
k141_133598                    1274            46         10.14        7.96         29.60       
k141_86205                     1025            37         8.16         7.96         26.10       
k141_64279                     1108            40         8.82         7.96         51.60       
k141_35042                     1469            53         11.69        7.96         30.30       
k141_10042                     1302            47         10.36        7.96         29.30       
k141_71494                     1163            42         9.26         7.96         31.70       
k141_119165                    2163            78         17.20        7.95         26.40       
k141_78865                     2385            86         18.96        7.95         28.40       
k141_67128                     1803            65         14.33        7.95         27.80       
k141_20841                     2136            77         16.98        7.95         32.40       
k141_3841                      1165            42         9.26         7.95         44.50       
k141_45240                     1165            42         9.26         7.95         35.20       
k141_149315                    1303            47         10.36        7.95         24.50       
k141_161007                    1719            62         13.67        7.95         30.70       
k141_66741                     1221            44         9.70         7.95         45.50       
k141_18845                     1497            54         11.91        7.95         29.40       
k141_27207                     1610            58         12.79        7.94         28.80       
k141_169574                    1582            57         12.57        7.94         33.90       
k141_19970                     2859            103        22.71        7.94         27.60       
k141_141600                    3470            125        27.56        7.94         31.30       
k141_56808                     2999            108        23.81        7.94         24.90       
k141_153527                    1055            38         8.38         7.94         36.60       
k141_104627                    1360            49         10.80        7.94         30.30       
k141_9587                      1944            70         15.43        7.94         25.80       
k141_145734                    2000            72         15.88        7.94         25.90       
k141_42000                     1138            41         9.04         7.94         36.50       
k141_132966                    1860            67         14.77        7.94         28.70       
k141_6457                      2667            96         21.17        7.94         29.30       
k141_72238                     1222            44         9.70         7.94         34.00       
k141_165342                    1582            57         12.57        7.94         25.90       
k141_162775                    6080            219        48.29        7.94         45.70       
k141_70706                     2834            102        22.49        7.94         39.40       
k141_132617                    1166            42         9.26         7.94         44.20       
k141_179125                    1389            50         11.02        7.94         38.10       
k141_4093                      2500            90         19.84        7.94         36.40       
k141_66169                     1694            61         13.45        7.94         34.10       
k141_125919                    2554            92         20.29        7.94         29.80       
k141_44099                     1807            65         14.33        7.93         38.00       
k141_99022                     1029            37         8.16         7.93         29.00       
k141_178962                    2309            83         18.30        7.93         26.10       
k141_144034                    2502            90         19.84        7.93         38.40       
k141_115599                    1558            56         12.35        7.93         42.90       
k141_125414                    1919            69         15.21        7.93         27.40       
k141_14951                     1418            51         11.25        7.93         28.70       
k141_178366                    1196            43         9.48         7.93         31.00       
k141_140173                    3310            119        26.24        7.93         22.80       
k141_139189                    1807            65         14.33        7.93         33.10       
k141_73227                     1195            43         9.48         7.93         26.10       
k141_61708                     1195            43         9.48         7.93         44.10       
k141_156947                    1530            55         12.13        7.93         36.70       
k141_181295                    1056            38         8.38         7.93         26.70       
k141_82207                     1973            71         15.66        7.93         38.00       
k141_88771                     1613            58         12.79        7.93         27.50       
k141_139625                    1476            53         11.69        7.92         44.50       
k141_61403                     1531            55         12.13        7.92         24.20       
k141_115193                    1113            40         8.82         7.92         40.50       
k141_61518                     1141            41         9.04         7.92         28.50       
k141_11490                     3478            125        27.56        7.92         30.10       
k141_136002                    2338            84         18.52        7.92         38.60       
k141_154693                    1671            60         13.23        7.92         35.30       
k141_47601                     1448            52         11.47        7.92         27.00       
k141_105109                    2505            90         19.84        7.92         33.00       
k141_4786                      1699            61         13.45        7.92         27.40       
k141_61399                     1781            64         14.11        7.92         45.30       
k141_6245                      1280            46         10.14        7.92         31.20       
k141_40250                     1308            47         10.36        7.92         27.00       
k141_87723                     1113            40         8.82         7.92         29.80       
k141_28334                     1058            38         8.38         7.92         37.80       
k141_65512                     2032            73         16.10        7.92         31.00       
k141_14350                     1114            40         8.82         7.92         29.60       
k141_87227                     1420            51         11.25        7.92         71.90       
k141_74503                     1615            58         12.79        7.92         41.00       
k141_136903                    3259            117        25.80        7.92         35.80       
k141_33009                     1114            40         8.82         7.92         29.10       
k141_142950                    2897            104        22.93        7.92         30.10       
k141_114608                    1756            63         13.89        7.91         30.80       
k141_159796                    2594            93         20.51        7.91         33.60       
k141_139065                    1366            49         10.80        7.91         30.50       
k141_96539                     1645            59         13.01        7.91         27.50       
k141_125369                    2396            86         18.96        7.91         53.30       
k141_16842                     1338            48         10.58        7.91         29.30       
k141_88767                     1506            54         11.91        7.91         37.80       
k141_88278                     2173            78         17.20        7.91         26.80       
k141_7424                      2452            88         19.40        7.91         27.60       
k141_71696                     1059            38         8.38         7.91         39.30       
k141_75074                     1978            71         15.66        7.91         34.70       
k141_157586                    1562            56         12.35        7.91         36.40       
k141_157984                    1617            58         12.79        7.91         29.20       
k141_49062                     1283            46         10.14        7.91         29.20       
k141_34006                     1450            52         11.47        7.91         24.20       
k141_154352                    1450            52         11.47        7.91         31.20       
k141_18237                     1368            49         10.80        7.90         44.00       
k141_152148                    1228            44         9.70         7.90         55.20       
k141_95725                     1564            56         12.35        7.90         44.10       
k141_56829                     1256            45         9.92         7.90         36.40       
k141_129501                    1674            60         13.23        7.90         35.10       
k141_143982                    1088            39         8.60         7.90         33.80       
k141_163151                    1451            52         11.47        7.90         26.10       
k141_154195                    2261            81         17.86        7.90         33.00       
k141_100806                    2122            76         16.76        7.90         30.80       
k141_96479                     1479            53         11.69        7.90         34.70       
k141_137135                    1284            46         10.14        7.90         46.00       
k141_102758                    1117            40         8.82         7.90         25.60       
k141_57359                     1927            69         15.21        7.90         24.70       
k141_179880                    1870            67         14.77        7.90         25.90       
k141_29594                     1033            37         8.16         7.90         29.00       
k141_146056                    1367            49         10.80        7.90         38.20       
k141_65072                     1200            43         9.48         7.90         36.20       
k141_32529                     1507            54         11.91        7.90         46.80       
k141_102365                    1451            52         11.47        7.90         37.30       
k141_133394                    1508            54         11.91        7.90         26.10       
k141_169230                    1342            48         10.58        7.89         33.20       
k141_96896                     2793            100        22.05        7.89         28.90       
k141_136402                    1174            42         9.26         7.89         44.30       
k141_134541                    1426            51         11.25        7.89         40.40       
k141_177182                    1146            41         9.04         7.89         31.10       
k141_66235                     2319            83         18.30        7.89         27.80       
k141_33283                     1201            43         9.48         7.89         36.90       
k141_101033                    1704            61         13.45        7.89         26.30       
k141_144534                    1397            50         11.02        7.89         25.10       
k141_44041                     1370            49         10.80        7.89         39.70       
k141_133638                    2095            75         16.54        7.89         26.10       
k141_31139                     1285            46         10.14        7.89         32.50       
k141_18730                     2070            74         16.32        7.88         22.20       
k141_16416                     2407            86         18.96        7.88         26.50       
k141_90960                     1035            37         8.16         7.88         43.70       
k141_159804                    1679            60         13.23        7.88         36.70       
k141_138834                    1427            51         11.25        7.88         40.60       
k141_42255                     1147            41         9.04         7.88         47.30       
k141_99014                     2015            72         15.88        7.88         23.70       
k141_58239                     1399            50         11.02        7.88         29.10       
k141_173561                    2043            73         16.10        7.88         30.60       
k141_3370                      1343            48         10.58        7.88         27.30       
k141_59056                     1287            46         10.14        7.88         41.30       
k141_19182                     1371            49         10.80        7.88         25.60       
k141_5912                      1483            53         11.69        7.88         34.30       
k141_139702                    1847            66         14.55        7.88         33.80       
k141_159654                    1175            42         9.26         7.88         38.50       
k141_133804                    1903            68         14.99        7.88         33.70       
k141_37688                     1818            65         14.33        7.88         28.20       
k141_120415                    1035            37         8.16         7.88         34.20       
k141_63736                     1371            49         10.80        7.88         26.20       
k141_167205                    1818            65         14.33        7.88         25.60       
k141_142924                    1231            44         9.70         7.88         39.30       
k141_164770                    1622            58         12.79        7.88         47.20       
k141_179907                    2547            91         20.07        7.88         37.80       
k141_129792                    1539            55         12.13        7.88         54.20       
k141_24158                     2100            75         16.54        7.87         39.30       
k141_10282                     4962            177        39.03        7.87         37.00       
k141_4187                      2158            77         16.98        7.87         56.00       
k141_86216                     2354            84         18.52        7.87         31.60       
k141_44341                     1093            39         8.60         7.87         28.80       
k141_96992                     2213            79         17.42        7.87         34.50       
k141_76722                     1289            46         10.14        7.87         31.10       
k141_148206                    1624            58         12.79        7.87         32.60       
k141_87160                     1008            36         7.94         7.87         38.20       
k141_131513                    1764            63         13.89        7.87         26.60       
k141_124013                    1261            45         9.92         7.87         35.20       
k141_149893                    1484            53         11.69        7.87         41.50       
k141_45314                     1626            58         12.79        7.87         28.60       
k141_129782                    3252            116        25.58        7.87         30.10       
k141_4960                      1233            44         9.70         7.87         30.00       
k141_76594                     2016            72         15.88        7.87         21.50       
k141_178763                    1905            68         14.99        7.87         35.90       
k141_136008                    1597            57         12.57        7.87         27.20       
k141_43143                     1092            39         8.60         7.87         34.20       
k141_43368                     3138            112        24.70        7.87         30.00       
k141_119095                    1708            61         13.45        7.87         34.20       
k141_132213                    2887            103        22.71        7.87         39.70       
k141_54134                     1512            54         11.91        7.87         40.40       
k141_166663                    1261            45         9.92         7.87         37.30       
k141_130816                    2494            89         19.62        7.87         38.40       
k141_127445                    1652            59         13.01        7.87         45.20       
k141_180995                    3504            125        27.56        7.87         37.30       
k141_112123                    1682            60         13.23        7.87         37.10       
k141_40351                     2523            90         19.84        7.87         42.50       
k141_179536                    3756            134        29.55        7.87         33.70       
k141_150629                    1065            38         8.38         7.87         23.90       
k141_176175                    1092            39         8.60         7.87         30.40       
k141_142771                    1598            57         12.57        7.87         30.60       
k141_26667                     1065            38         8.38         7.87         43.20       
k141_77771                     1712            61         13.45        7.86         26.70       
k141_71607                     1571            56         12.35        7.86         23.40       
k141_49958                     1235            44         9.70         7.86         24.80       
k141_158820                    2440            87         19.18        7.86         36.80       
k141_18676                     1739            62         13.67        7.86         26.90       
k141_144079                    2496            89         19.62        7.86         32.30       
k141_172181                    2498            89         19.62        7.86         45.50       
k141_70575                     1263            45         9.92         7.86         38.30       
k141_135367                    1150            41         9.04         7.86         27.30       
k141_48242                     1150            41         9.04         7.86         26.50       
k141_120187                    3536            126        27.78        7.86         32.30       
k141_156925                    1263            45         9.92         7.86         35.90       
k141_67899                     1319            47         10.36        7.86         30.70       
k141_91235                     1458            52         11.47        7.86         35.70       
k141_66761                     1514            54         11.91        7.86         36.90       
k141_23855                     1514            54         11.91        7.86         30.70       
k141_80890                     3171            113        24.92        7.86         36.50       
k141_154009                    1402            50         11.02        7.86         24.50       
k141_177997                    1264            45         9.92         7.85         37.70       
k141_152871                    2725            97         21.39        7.85         34.60       
k141_141878                    1151            41         9.04         7.85         32.50       
k141_33518                     2472            88         19.40        7.85         35.00       
k141_10947                     1657            59         13.01        7.85         47.60       
k141_20212                     2359            84         18.52        7.85         38.80       
k141_70774                     1601            57         12.57        7.85         36.30       
k141_179209                    2135            76         16.76        7.85         35.10       
k141_74753                     1433            51         11.25        7.85         47.80       
k141_165579                    1405            50         11.02        7.85         44.10       
k141_178150                    1349            48         10.58        7.85         42.30       
k141_133767                    1348            48         10.58        7.85         42.40       
k141_707                       1686            60         13.23        7.85         24.50       
k141_165033                    1770            63         13.89        7.85         39.70       
k141_31467                     1658            59         13.01        7.85         23.40       
k141_15531                     1573            56         12.35        7.85         34.90       
k141_148386                    1264            45         9.92         7.85         45.90       
k141_91936                     3565            127        28.00        7.85         35.80       
k141_149391                    1208            43         9.48         7.85         25.70       
k141_157146                    1713            61         13.45        7.85         34.70       
k141_164261                    2611            93         20.51        7.85         28.70       
k141_70108                     1210            43         9.48         7.84         23.70       
k141_121804                    1968            70         15.43        7.84         36.50       
k141_123281                    1265            45         9.92         7.84         29.90       
k141_159481                    4135            147        32.41        7.84         43.00       
k141_170420                    1574            56         12.35        7.84         26.50       
k141_136120                    1490            53         11.69        7.84         29.90       
k141_132052                    1097            39         8.60         7.84         35.70       
k141_165938                    2446            87         19.18        7.84         36.40       
k141_31952                     1801            64         14.11        7.84         32.70       
k141_40102                     1884            67         14.77        7.84         34.60       
k141_29619                     1013            36         7.94         7.84         41.70       
k141_173366                    1463            52         11.47        7.84         30.50       
k141_145881                    1210            43         9.48         7.84         24.40       
k141_167077                    3263            116        25.58        7.84         48.30       
k141_56658                     1097            39         8.60         7.84         54.10       
k141_170983                    1153            41         9.04         7.84         28.70       
k141_132918                    1210            43         9.48         7.84         26.70       
k141_61067                     1237            44         9.70         7.84         34.30       
k141_33711                     1125            40         8.82         7.84         32.00       
k141_156062                    1380            49         10.80        7.83         46.70       
k141_8270                      2702            96         21.17        7.83         31.30       
k141_99352                     1916            68         14.99        7.83         24.70       
k141_168565                    2846            101        22.27        7.83         27.60       
k141_89762                     1182            42         9.26         7.83         58.30       
k141_56706                     1070            38         8.38         7.83         37.10       
k141_174021                    3353            119        26.24        7.83         33.30       
k141_68796                     1324            47         10.36        7.83         25.40       
k141_142513                    1042            37         8.16         7.83         37.30       
k141_156011                    1324            47         10.36        7.83         36.40       
k141_68987                     2225            79         17.42        7.83         28.20       
k141_13502                     4841            172        37.93        7.83         27.90       
k141_155326                    1777            63         13.89        7.82         33.50       
k141_120015                    2115            75         16.54        7.82         32.10       
k141_179969                    1156            41         9.04         7.82         28.40       
k141_80889                     2509            89         19.62        7.82         44.60       
k141_169543                    1382            49         10.80        7.82         43.00       
k141_168845                    3159            112        24.70        7.82         48.90       
k141_23883                     1240            44         9.70         7.82         29.90       
k141_114114                    1099            39         8.60         7.82         36.00       
k141_65215                     2086            74         16.32        7.82         28.90       
k141_76250                     2340            83         18.30        7.82         30.80       
k141_22298                     2735            97         21.39        7.82         24.90       
k141_43858                     1917            68         14.99        7.82         27.60       
k141_114527                    1776            63         13.89        7.82         31.60       
k141_129598                    1128            40         8.82         7.82         34.90       
k141_169447                    1100            39         8.60         7.82         25.80       
k141_57063                     2849            101        22.27        7.82         27.80       
k141_124866                    2255            80         17.64        7.82         48.70       
k141_108695                    1466            52         11.47        7.82         29.90       
k141_162714                    1836            65         14.33        7.81         34.10       
k141_73447                     1948            69         15.21        7.81         35.20       
k141_5793                      1045            37         8.16         7.81         27.50       
k141_69759                     1158            41         9.04         7.81         34.70       
k141_157098                    2201            78         17.20        7.81         26.70       
k141_175705                    1666            59         13.01        7.81         31.80       
k141_10681                     2456            87         19.18        7.81         33.00       
k141_132601                    1157            41         9.04         7.81         30.80       
k141_7897                      1158            41         9.04         7.81         30.20       
k141_31660                     1891            67         14.77        7.81         31.70       
k141_78932                     1157            41         9.04         7.81         29.80       
k141_172704                    1779            63         13.89        7.81         28.70       
k141_113164                    2060            73         16.10        7.81         37.90       
k141_153667                    1355            48         10.58        7.81         27.70       
k141_159328                    1976            70         15.43        7.81         30.50       
k141_87359                     1920            68         14.99        7.81         30.90       
k141_86411                     1414            50         11.02        7.80         28.30       
k141_64763                     1894            67         14.77        7.80         48.00       
k141_44476                     3928            139        30.65        7.80         25.80       
k141_101064                    1724            61         13.45        7.80         30.50       
k141_16457                     1498            53         11.69        7.80         39.00       
k141_6081                      2007            71         15.66        7.80         27.00       
k141_116378                    6190            219        48.29        7.80         23.90       
k141_133368                    1612            57         12.57        7.80         40.30       
k141_27695                     1103            39         8.60         7.80         31.60       
k141_94945                     1640            58         12.79        7.80         31.90       
k141_128929                    1244            44         9.70         7.80         32.90       
k141_121007                    2939            104        22.93        7.80         25.60       
k141_138526                    1667            59         13.01        7.80         33.60       
k141_117540                    1357            48         10.58        7.80         28.30       
k141_108736                    1386            49         10.80        7.80         25.30       
k141_88208                     3280            116        25.58        7.80         31.70       
k141_179318                    1301            46         10.14        7.80         29.60       
k141_178878                    1328            47         10.36        7.80         38.50       
k141_16362                     1386            49         10.80        7.80         37.20       
k141_45762                     1527            54         11.91        7.80         26.70       
k141_26934                     1895            67         14.77        7.80         34.50       
k141_58327                     1385            49         10.80        7.80         25.30       
k141_162171                    1612            57         12.57        7.80         36.30       
k141_159085                    3087            109        24.03        7.79         31.00       
k141_139169                    1387            49         10.80        7.79         36.90       
k141_175726                    1161            41         9.04         7.79         28.40       
k141_51923                     1613            57         12.57        7.79         28.90       
k141_67122                     1755            62         13.67        7.79         36.20       
k141_41210                     1358            48         10.58        7.79         29.20       
k141_52254                     1330            47         10.36        7.79         37.20       
k141_157029                    1076            38         8.38         7.79         44.70       
k141_26870                     2235            79         17.42        7.79         30.70       
k141_159553                    1047            37         8.16         7.79         25.00       
k141_123807                    1019            36         7.94         7.79         32.90       
k141_121713                    1246            44         9.70         7.79         27.70       
k141_160519                    2122            75         16.54        7.79         64.00       
k141_45378                     1076            38         8.38         7.79         25.90       
k141_45218                     1387            49         10.80        7.79         43.50       
k141_99675                     2433            86         18.96        7.79         39.00       
k141_7246                      1189            42         9.26         7.79         41.30       
k141_56322                     1500            53         11.69        7.79         33.60       
k141_95867                     1075            38         8.38         7.79         43.30       
k141_117977                    1416            50         11.02        7.79         34.30       
k141_28966                     1076            38         8.38         7.79         42.90       
k141_147845                    1076            38         8.38         7.79         44.70       
k141_143191                    2151            76         16.76        7.79         28.10       
k141_5117                      3573            126        27.78        7.78         39.10       
k141_57939                     1191            42         9.26         7.78         29.60       
k141_36120                     2776            98         21.61        7.78         31.50       
k141_56532                     1020            36         7.94         7.78         43.10       
k141_170988                    1757            62         13.67        7.78         28.90       
k141_129847                    1813            64         14.11        7.78         31.20       
k141_14005                     2068            73         16.10        7.78         37.00       
k141_1050                      2296            81         17.86        7.78         29.00       
k141_33055                     1361            48         10.58        7.78         40.60       
k141_94824                     1219            43         9.48         7.78         40.10       
k141_17173                     1218            43         9.48         7.78         42.10       
k141_181365                    2323            82         18.08        7.78         38.60       
k141_18729                     1984            70         15.43        7.78         27.40       
k141_104996                    1133            40         8.82         7.78         41.90       
k141_130973                    1247            44         9.70         7.78         26.90       
k141_118153                    2212            78         17.20        7.78         42.50       
k141_12635                     2466            87         19.18        7.78         25.40       
k141_93732                     1135            40         8.82         7.77         30.70       
k141_110761                    1107            39         8.60         7.77         26.50       
k141_147964                    1986            70         15.43        7.77         24.30       
k141_179030                    1391            49         10.80        7.77         36.10       
k141_86076                     1249            44         9.70         7.77         42.70       
k141_131887                    2385            84         18.52        7.77         26.90       
k141_2576                      1532            54         11.91        7.77         25.10       
k141_151490                    2354            83         18.30        7.77         24.20       
k141_156811                    1022            36         7.94         7.77         60.00       
k141_138660                    2016            71         15.66        7.77         34.70       
k141_69549                     1022            36         7.94         7.77         37.80       
k141_83682                     1391            49         10.80        7.77         32.10       
k141_79609                     2867            101        22.27        7.77         29.00       
k141_127098                    1590            56         12.35        7.77         34.70       
k141_32145                     1645            58         12.79        7.77         34.80       
k141_101207                    1022            36         7.94         7.77         23.50       
k141_176430                    1590            56         12.35        7.77         33.50       
k141_106779                    1589            56         12.35        7.77         30.90       
